"May 4, 2024",Rated 4 stars out of five stars,"It's Good... Suggestion... I'll just leave one suggestion, because this is what annoys me most.. , Imagine if you will... Not having to Hold your finger on a tab for like 20 minutes to make an image on your video go from beginning to end or whatever even if you want to have ten or twenty or however many images added to audio... Why isn't there an option to select imagine duration... As opposed to a line you drag... It's like the image feature was designed for 30 second videos or something.."
"May 4, 2024",Rated 5 stars out of five stars,"Hi! This is a great app for editing. There's no watermark, and if you want to upload it easily, you can press the little arrow thing at the top. It's alot easier to edit because there's also templates. I've been using this app for roughly about 3 months, it's so helpful! A slight problem I have is when I have to switch between my old phone and this one. The videos don't transfer, and just disappear. You don't have to fix it! I can find my way around. In fact, you can add multiple scenes in one!"
"May 4, 2024",Rated 3 stars out of five stars,"This app has been such a good and easy video editor but recently it has been extremely laggy and slow. I'm not sure but I think it came from the latest update because since then, videos are taken forever to export. Currently, I'm exporting a 25 seconds clip but it has taken 10 minutes so far. I'm just hoping you can get it fixed asap because I rely on this app so much."
"May 4, 2024",Rated 2 stars out of five stars,"At the start, it's a wonderful editing app to use, but as im going on. It's not been great, there are a few problems I've been experiencing alot. 1) Whenever I try to miniscreen capcut on my device, it doesn't work and my device gets frozen and I have to restart the device. 2) There has been way too much lag, it's so hard to edit when it's takes so long to recover the lag issues. 3) Whenever using a textbox, sometimes the previous textbox I wrote, it's writing is on the text im using."
"May 4, 2024",Rated 3 stars out of five stars,"Cap Cut has been easy to get used to. But it does have its limitations. Videos that you edit with CapCut cannot be added to another project, they cause CapCut to run painfully slow. The stickers and overlays are great, but they lack an interactive search function, and more to choose from. And it would be really great if you could export only a selected clip in the timeline as a new video resource. (The clip could be trimmed or have additional effects on them)"
"May 4, 2024",Rated 4 stars out of five stars,"It's a great editor ON MOBILE. On pc on the other hand, honestly, it's terrible, the clips won't load,it will slow down without reason and you can't speed it up. DEVS, PLEASE FIX. To make videos on gopro, it's easier to put the videos on to your pc rather that Mobil, so it's better to edit videos on pc, so, please fix. Also PLEASE LOOK DEVS AWSOME IDEA you know the mask feature, can you make an option so that you can sraw your own mask, or at least add a few more shapes 😉. If you do this THX"
"May 4, 2024",Rated 5 stars out of five stars,"I don't really like the video quality function. HD and especially UHD makes faces look ugly. Everything else looks brilliant, but faces are mostly ugly, especially in video. However, to be fair, sometimes faces also look well. It seems a small detail, which can be neglected. But in my opinion, human faces are the most important detail. If they look ugly, the whole picture or video is just a piece of junk for me 🤷‍♂️"
"May 4, 2024",Rated 4 stars out of five stars,"This is an amazing free app for editing with cool features (although you have to pay for pro now for the majority of capcut) but I cannot give 4 or 5 stars. It has lags and has lots of bugs and glitches. The worst one I've had is when I try to make key frames to move images. When I try do this it affects other key frames and changes their adjustments. It really needs fixing and CapCut should have regular checks. If this happens I may give it 4 or 5 stars. Overall, the app is still decent to use."
"May 4, 2024",Rated 5 stars out of five stars,"This is an excellent app, it has a wide selection of tools to use within the app itself, this contains no ads which is great. You can use templates from other people who have amazing talents at editing, or you can just edit a video or clip on your own. I personally use both but if I had to choose I would edit on my own. It's so simple and that's why I love it. Sometimes it does lag and kick me off, but that's only every so often. I 100% recommended this app if you love editing."
"May 4, 2024",Rated 2 stars out of five stars,"Could be amazing if it didn't freeze up to a point of not being able to use the editing features. Every time I cut a video, it has problems lagging while playing back the video. Pausing in between transitions even if there is no transition. It's impossible to edit anything with unless you just keep the video as it is and use the other features but.. good luck if you need to trim anything. I have a Samsung Galaxy s22 ultra. None of my other apps do this :0"
"May 4, 2024",Rated 2 stars out of five stars,"Don't use the PC version. I've been pouring hours into a video and the music syncs use the speed feature and the speed curve feature, and I have to customize it, but it always resets the speed no matter how much I save nothing will fix this bug and its one of the most annoying things I've ever dealt with in an editing software, if someone knows I fix for this I'd love to know, but until then I'm not using this program probably ever again. It has some really good features, but this is too much"
"May 4, 2024",Rated 3 stars out of five stars,"It's very nice when it works, but it's very buggy. I'm getting my sounds duplicated throughout my videos and my longer music audios dissapearing so I can't edit them even though I can still hear them in my video. I've tried updating and restarting the app but it hasnt fixed anything. As a pro user I really hope this gets fixed soon so I can give a proper rating."
"May 4, 2024",Rated 2 stars out of five stars,"I like this app it's very good but I have one problem. Whenever I try to cutout pictures and use the custom cut. It keeps erroring and it gets placed on a different side of the picture instead of where I drew it. Until this gets fixed I'm leaving 3 stars. Good app but very buggy Edit: it has gotten even worse, now I can barley cutout. Also, most sound effects now are terrible, before they were good, now I can't even find what I'm looking for."
"May 4, 2024",Rated 5 stars out of five stars,"9/22: I really like the app! I've been using it for 2 years and it's really good and convenient (and it's actually really good especially because it's free). However, alot of features are laggy and work for everyone but me. The motion blur is laggy and just fades instead of actually doing motion blur. I've tried lots of things in an attempt to fix it but nothing works. Please fix this! 4/24: motion blur works fine and app is rlly good!! no flaws, not that ive experienced. adding vip is sad tho-"
"May 4, 2024",Rated 1 stars out of five stars,"It's WAS great but it won't let me use it, every time I open it it gives me a security notice and says to download the most recent iteration of it in the app store. Thing is!!! That is the most recent. It's fully updated as well! I've switched phones and this problem happened on both of them. Capcut I have to make videos somehow!!!!??!"
"May 4, 2024",Rated 4 stars out of five stars,"It's easy to use. Smoother than Tiktok to create videos. I feel that too many things are available for Pro, such as some of the AI voices, which are the same as Tiktok, yet they are all free on there unlike Capcut. Sometimes, when selecting an AI voice, it doesn't not load, and I have to use the Apply to All option to get around it."
"May 4, 2024",Rated 2 stars out of five stars,I love capcut and always have but just today I was editing a video for YouTube when randomly the audio got corrupted. the voices and sounds sound like they were put through a robot voice filter. I wasn't editing anything yet just reviewing the footage. I tried hitting the undo button but because I didn't touch anything it didn't have anything to undo. I looked back at the videos in my camera roll and they're completely fine. it's capcut. pls fix this I love this app very disappointed rn
"May 4, 2024",Rated 3 stars out of five stars,"Good editor, however with the new pro addition, everything is basically pro. New effects, features, and ever some things like motion blur is now a pro feature. Furthermore, capcut can't seem to run anything over 500mb of storage. The app starts to lag heavily, and for some reason even lagged with 1080p footage, which at this point should be default, and should be best to run. Don't use if you have really any intenton of making a somewhat decent edit."
"May 4, 2024",Rated 1 stars out of five stars,"HORRIBLE, after so long using without issues it started failing, tried using it alone, emptying the phone memory, re-installing, NOTHING helped. The images don't load, the videos don't load, you can't see what you're doing and it doesn't allow you to split or do anything, it's lagging horribly and it has become useless. I'm uninstalling it till there's some good fixing."
"May 4, 2024",Rated 4 stars out of five stars,"Let me report an inconvenience that is happening in use. There is no problem with short videos, but when making a lot of clips and long videos, if i make a mistake and use pro mode, it cannot be done during export. I also did not buy pro mode, so it is very inconvenient to search for where in the video I used pro mode to cancel pro mode. That's why it would be more convenient if you add a feature that makes it easy to find which video clip has been used in pro mode.Thank You."
"May 4, 2024",Rated 3 stars out of five stars,"love this app! I use this for editing. However, one time i re-installed capcut because the app is so glitchy to the point its crashing. So i reinstalled it. And once its done installing it always keeps saying “App not Installed” i tried many times it just wont install and i have to wait for 24 FREAKING hours to install it back. And the fact that almost half of the effects, things and functions in capcut are all pro. Not trying to be “unfair” its just the editors need cooperation too."
"May 4, 2024",Rated 2 stars out of five stars,"Highly don't recommend. It was a good app for editing at start but on day I got no connection in capcut even tho I had excellent and full connection. Please fix this capcut. I need to finish an edit. It's been happening for a month and it is not accessible. I tried alight motion but capcut is wayy easier. Please fix this by a week or 2...other than that, app is good for beginners, wonderful templates, good for animations, etc. if this glitch was fixed it would be appreciated."
"May 4, 2024",Rated 1 stars out of five stars,"An honest review. I've been using capcut since 2021, and it's become terrible. 1: pro. Almost every good effect is locked behind pro, the good features, they are locked behind pro. It's annoying :( 2: ads. They added ads, again, very annoying. 3: templates. Please stop pushing them so hard- if we want to use templates, cool. If we don't, don't force us to us them. 4: updates. Adding updates no one wants. You are making the app worse- 5: text. Pls add the old text system back. Let us save text."
"May 4, 2024",Rated 4 stars out of five stars,"I absolutely recommend this app for editing any video, but I have been getting problems with it recently. I have finished WEEKS of my effort on a video but now it won't let me export it, it's only 2 or 3 minutes and I am trying to export it in a low code rate, frame rate, and resulotion, but NOTHING I working! Please help me-I really need this video"
"May 4, 2024",Rated 4 stars out of five stars,"I love that they offer filters without watermarks & features like video sound extracting for free. I hope they would make ways for creating an editing tool that would let me 'cut from here', cut from the start, cut to the end, & also features that would easily let me jump to the last clip of my videos or to first part of my videos or to any video in the set of clips I also hope they would offer free decent voice effects like that of real persons other than my favorite 'trickster'."
