"May 12, 2024",Rated 1 stars out of five stars,Recent update broke the camera feature. I am no longer able to translate from the live camera. Edit: totally useless reply from Google. I know how to use the camera translate feature. I've used it for years in more than two dozen countries. The recent update has broken the camera feature. It is frozen on whatever image is in front of the camera when you open the app. Even from photos it doesn't work. Useless.
"May 12, 2024",Rated 3 stars out of five stars,"Helpful at times, but constant issues. If you have an intermittent connection, it won't work even if you've downloaded the language to use offline. You save phrases once you find the right context, then it will completely change the context of the word when you revisit. Sometimes, it even just gives you the completely wrong translation. Incredibly inconsistent."
"May 12, 2024",Rated 4 stars out of five stars,"The app is good but I would like to suggest a feature that enables to quickly translate texts in real-time. For example, I can't understand Korean, but if I were to watch a Korean show where the subtitles hadn't been added yet, I'd like to use my phone with the camera aimed at the Korean subtitles section to capture the text and translate it at the speed of the subtitle transition in the video. Or something similar to this. Thank you"
"May 12, 2024",Rated 4 stars out of five stars,"I don't have a huge necessity for a translation app, but it has been very, very helpful in my travels. The only thing that is slightly annoying is that the recording can stop prematurely in conversation mode. For example, if a person takes a sort pause, the app stops recording and the translation is referred incomplete. Otherwise this app is easy to use, and very comprehensive. Great work."
"May 12, 2024",Rated 5 stars out of five stars,"""Google Translate is a lifesaver when it comes to breaking language barriers. Its accuracy and vast language database make it an essential tool for communication, whether traveling abroad or interacting with people from different linguistic backgrounds. The ability to translate text, speech, and even images in real-time is truly remarkable. While not perfect, it's continuously improving, and its convenience is unmatched. Highly recommended for anyone navigating a multilingual world."""
"May 12, 2024",Rated 1 stars out of five stars,"I used this app for years. Recently, it stopped working. I downloaded the needed language before a trip last week. It told me it was downloaded. When I tried using it offline, it told me I had to download the language. It was super frustrating because i didn't have service or access to wifi. I have tried fixing it several times, and no matter what I do, it will not translate offline. It has gone from auseful app to a pointless one. The Help sends you to a forum where everyone has the same issue."
"May 12, 2024",Rated 4 stars out of five stars,"Liking the new app. It's working great on my Pixel 7 Pro. The app runs faster, is less glitchy and doesn't time out. I like how the new split screen lets you sit across from each other and read the text. I use this to translate Thai, which is a notoriously difficult language. The app isn't perfect but does much better giving an accurate translation. It would be nice to be able to save larger transcripts than currently able to now."
"May 12, 2024",Rated 2 stars out of five stars,"A once great app, laid low by terrible decision making by the developers/product team. You can no longer toggle between the original text and the translation when translating from an image. This is an awful decision since the translations are often not accurate and because sometimes a user may need the text in its original form in addition to the translation. I'll be using Deepl for now. It works better anyway. I do hope this gets resolved, though. I filed it via the help menu as well."
"May 12, 2024",Rated 3 stars out of five stars,"Great app, but in the last several months, the offline language packets are not functioning correctly and the app will not let me offline translate, unless I first click on a starred (saved) translation and then change to the needed language fields, then write in my desired translation (and sometimes that glitches as well). For work, I come across people who speak various languages and connecting even briefly with them means a lot, but also is a difference maker in an emergent situation."
"May 12, 2024",Rated 5 stars out of five stars,"★ 3/18/24 ""Google Translate is a lifesaver when it comes to breaking language barriers. Its accuracy and vast language database make it an essential tool for communication, whether traveling abroad or interacting with people from different linguistic backgrounds. The ability to translate text, speech, and even images in real-time is truly remarkable. While not perfect, it's continuously improving, and its convenience is unmatched. Highly recommended for anyone navigating a multilingual world."""
