2024/3/20,Rated 1 stars out of five stars,"It's pretty great overall, but like it's always the same ad playing and gets really boring and is also very annoying. Not only that, but when I search podcasts, the words aren't always synced properly and there are some misspelled words. Plus I really dislike that they add songs to your playlist that u didn't add yourself. It gets really annoying when I want to listen to my own songs but the Spotify added songs keep playing",,,
2024/3/20,Rated 2 stars out of five stars,honestly this app is really good but theres some really annoying bugs. the first one is whenever i click to play a certain song it just starts playing something else. second is that i cannot off shuffle mode. i do not have spotify premium and whenever i try to off shuffle it just gives me the spotify premium sign. its so annoying please fix it.,,,
2024/3/20,Rated 4 stars out of five stars,"I love this app so much, I have Spotify premium and the benefits are great. All the features are great. But the app itself could use some work, certain glitches or errors in certain features effect the listeners experience in a negative way. For example, the jam feature, where 2 or more people can listen from different devices at the same time, it's a great feature. It's a great way to feel connected through music. But whenever you add a song, or the host adds a song, the song glitches",,,
2024/3/20,Rated 3 stars out of five stars,"It's a great app, don't get me wrong. I just love putting on some headphones and finding some great songs to listen to, but there's one problem. When you try to play a song, it sometimes plays a completely different song, and it's so annoying. For example, I try to play lovely by Billie eilish, and it plays another love by Tom Oddel. I don't really like it, and therefore Spotify gets a 3 star review.",,,
2024/3/20,Rated 3 stars out of five stars,"Love the app, great features. One seriously aggravating problem: if I don't turn on shuffle, I don't want it on shuffle. I don't think it should be assumed that people want something mixed or a single played song. That's how my Spotify opens every time and it's terrible. Other than that, it's a phenomenal app and I would still recommend it to people.",,,
2024/3/20,Rated 3 stars out of five stars,"The app was perfect beforehand, but now I can't go to a certain song in one of my Playlists, can't fast forward, can't skip. The app is now just a different version of Amazon music, though the app does have good music quality and many different options of songs. But I do hope for things to go back how they used to, and till then, I won't be using Spotify as much. It's such a bummer and disappointing.",,,
2024/3/20,Rated 1 stars out of five stars,"I'm not sure when the functionality of the free version changed, but Spotify free version is total rubbish now. 100s of favourite songs on my playlist (which I know are still available to listen to via the Desktop free version) are no longer played. Clicking on any of my playlisted songs, something random is played. Ditto when you search for a song. In addition, the songs timeline does not allow direct access to parts of a song (no drag'n'slide). The app is currently pointless.",,,
2024/3/20,Rated 4 stars out of five stars,"I love Spotify, there's just a couple of improvements I would like to see. Firstly, I would like to see an equaliser since some sounds, especially in podcasts are often too much for one's ears. Secondly, the radio playlists are based on what I hear, when Spotify can make such assumptions. However, most of the time I go to the radio to find new music. I would love to see an option where the music in radios are completely separated from my seemingly similar tastes.",,,
2024/3/20,Rated 4 stars out of five stars,"Spotify is my main music app, and my most preferred, it gives me good suggestions and aligns with my mood quite well. it's a great music app overall, with amazing UI, nice features, and the most accurate Radios I've experienced through all the music apps I've tried. Aside from the features locked to premium, the lyrics are not a premium feature and doesn't even attempt to load the lyrics any further once it doesn't the first time. and it's annoying since it works when it wants to work.",,,
2024/3/20,Rated 3 stars out of five stars,"Been using Spotify for a few months now and I love it. However, recently music has stopped playing randomly after I switch over to other apps that are not playing sound. I don't understand why Spotify is doing this. This is especially frustrating as I'm paying for premium in order to get an uninterrupted listening experience, but now I'm being interrupted by the music suddenly shutting off. Hope this issue gets fixed soon.",,,
